ticket_id,source,category,subcategory,priority,sla_target_hours,created_at,closed_at,resolution_hours,status,description
10044,IKEA Perth,Network,WiFi,Urgent,8,2025-05-20 17:36:00,2025-05-21 22:08:39.258940,28.5,Closed,Performance degradation observed on wifi during peak hours.
10045,IKEA Perth,Hardware,Scanner,Low,72,2025-05-20 08:49:00,2025-05-20 18:24:40.282833,9.6,Closed,Scanner not responding; user reports frequent timeouts.
10046,UWA Lab B,Account,Permissions,Low,72,2025-05-20 14:42:00,2025-05-20 21:57:31.325007,7.3,Closed,"Access error related to permissions, needs privilege review."
10047,UWA Lab B,Hardware,Scanner,High,24,2025-05-20 09:47:00,2025-05-21 19:02:11.205735,33.3,Closed,Deployment blocker: scanner fails post‑install validation.
10048,UWA Lab A,Hardware,Desktop,High,24,2025-05-20 08:45:00,2025-05-20 22:00:06.383879,13.3,Closed,Request to configure desktop and verify connectivity.
10049,IKEA Perth,Hardware,Printer,Low,72,2025-05-21 09:45:00,2025-05-22 00:49:33.718318,15.1,Closed,Deployment blocker: printer fails post‑install validation.
10050,UWA Lab B,Hardware,Scanner,Low,72,2025-05-21 07:54:00,2025-05-22 03:03:57.238635,19.2,Closed,"Access error related to scanner, needs privilege review."
10051,UWA Lab A,Hardware,Printer,Low,72,2025-05-21 13:34:00,2025-05-22 00:35:47.252225,11.0,Closed,"Access error related to printer, needs privilege review."
10052,UWA Lab B,Account,Password reset,Low,72,2025-05-21 17:51:00,2025-05-21 23:42:37.743961,5.9,Closed,Password reset not responding; user reports frequent timeouts.
10053,Perth Airport T4,Account,Password reset,High,24,2025-05-21 17:01:00,2025-05-22 03:11:16.771868,10.2,Closed,Deployment blocker: password reset fails post‑install validation.
10054,IKEA Perth,Network,VPN,Low,72,2025-05-21 13:17:00,2025-05-22 09:40:58.151375,20.4,Closed,Deployment blocker: vpn fails post‑install validation.
10055,UWA Lab B,Hardware,Printer,Low,72,2025-05-21 12:14:00,2025-05-22 07:16:58.675480,19.0,Closed,Performance degradation observed on printer during peak hours.
10056,IKEA Perth,Network,WiFi,Low,72,2025-05-21 16:13:00,2025-05-23 18:21:32.705723,50.1,Closed,Request to configure wifi and verify connectivity.
10057,Perth Airport T4,Account,Password reset,High,24,2025-05-21 16:01:00,2025-05-22 07:11:18.192427,15.2,Closed,"Access error related to password reset, needs privilege review."
10058,Perth Airport T4,Hardware,Desktop,Medium,48,2025-05-22 11:54:00,2025-05-23 08:04:12.540418,20.2,Closed,Reported issue with desktop causing intermittent failures.
10059,Perth Airport T4,Account,Permissions,Low,72,2025-05-22 12:04:00,2025-05-22 15:21:09.161285,3.3,Closed,Request to configure permissions and verify connectivity.
10060,UWA Lab B,Network,VPN,Low,72,2025-05-22 09:27:00,2025-05-23 17:07:04.379216,31.7,Closed,"Access error related to vpn, needs privilege review."
10061,UWA Lab B,Install,Site survey,Medium,48,2025-05-22 16:17:00,2025-05-23 12:12:14.605075,19.9,Closed,Site survey not responding; user reports frequent timeouts.
10062,UWA Lab A,Account,Password reset,High,24,2025-05-22 13:21:00,,,Open,Request to configure password reset and verify connectivity.
10063,UWA Lab A,Network,AP install,High,24,2025-05-22 16:44:00,2025-05-24 06:38:10.499597,37.9,Closed,"Access error related to ap install, needs privilege review."
10064,Perth Airport T4,Network,AP install,Low,72,2025-05-22 14:41:00,2025-05-23 07:43:42.810107,17.0,Closed,Deployment blocker: ap install fails post‑install validation.
10065,UWA Lab A,Account,Password reset,Low,72,2025-05-22 11:42:00,2025-05-22 23:08:09.042113,11.4,Closed,Deployment blocker: password reset fails post‑install validation.
10066,UWA Lab B,Hardware,Laptop,Urgent,8,2025-05-22 11:16:00,2025-05-23 07:09:25.632020,19.9,Closed,Performance degradation observed on laptop during peak hours.
10067,IKEA Perth,Hardware,Desktop,Low,72,2025-05-23 16:48:00,2025-05-24 07:15:37.743561,14.5,Closed,Request to configure desktop and verify connectivity.
10068,UWA Lab A,Install,Rack,Low,72,2025-05-23 11:02:00,2025-05-24 07:16:04.139464,20.2,Closed,"Access error related to rack, needs privilege review."
10069,UWA Lab B,Hardware,Desktop,Low,72,2025-05-23 14:28:00,2025-05-24 15:52:15.957311,25.4,Closed,Reported issue with desktop causing intermittent failures.
10070,Perth Airport T4,Hardware,Scanner,High,24,2025-05-23 07:09:00,2025-05-24 02:50:21.677532,19.7,Closed,"Access error related to scanner, needs privilege review."
10071,IKEA Perth,Install,Cabling,Low,72,2025-05-23 16:38:00,2025-05-24 13:48:30.830824,21.2,Closed,Cabling not responding; user reports frequent timeouts.
10072,UWA Lab B,Account,MFA,High,24,2025-05-23 16:39:00,2025-05-23 23:54:21.231486,7.3,Closed,Performance degradation observed on mfa during peak hours.
10073,IKEA Perth,Network,AP install,Low,72,2025-05-23 15:04:00,2025-05-25 11:46:00.750266,44.7,Closed,Deployment blocker: ap install fails post‑install validation.
10074,UWA Lab A,Account,MFA,Low,72,2025-05-24 08:43:00,2025-05-24 14:45:24.305049,6.0,Closed,Request to configure mfa and verify connectivity.
10075,IKEA Perth,Account,Permissions,Medium,48,2025-05-24 17:09:00,2025-05-25 05:54:06.342847,12.8,Closed,Permissions not responding; user reports frequent timeouts.
10076,UWA Lab A,Network,AP install,Medium,48,2025-05-24 14:44:00,2025-05-25 22:48:57.955002,32.1,Closed,Deployment blocker: ap install fails post‑install validation.
10077,UWA Lab B,Install,Config,Low,72,2025-05-24 12:38:00,2025-05-25 01:13:55.544779,12.6,Closed,Reported issue with config causing intermittent failures.
10078,UWA Lab A,Network,WiFi,Medium,48,2025-05-24 14:58:00,2025-05-25 17:16:22.957536,26.3,Closed,"Access error related to wifi, needs privilege review."
10079,Perth Airport T4,Account,MFA,Medium,48,2025-05-25 12:42:00,2025-05-25 16:59:19.412671,4.3,Closed,MFA not responding; user reports frequent timeouts.
10080,UWA Lab A,Hardware,Scanner,Medium,48,2025-05-25 11:20:00,2025-05-25 23:55:33.096265,12.6,Closed,Deployment blocker: scanner fails post‑install validation.
10081,UWA Lab B,Install,Cabling,Medium,48,2025-05-25 12:39:00,2025-05-26 16:35:21.117821,27.9,Closed,Performance degradation observed on cabling during peak hours.
10082,IKEA Perth,Hardware,Printer,Low,72,2025-05-25 14:07:00,,,Open,Performance degradation observed on printer during peak hours.
10083,IKEA Perth,Account,Permissions,Low,72,2025-05-26 10:53:00,2025-05-27 04:17:33.373259,17.4,Closed,Deployment blocker: permissions fails post‑install validation.
10084,UWA Lab B,Install,Rack,High,24,2025-05-26 14:30:00,2025-05-27 14:27:39.650165,24.0,Closed,"Access error related to rack, needs privilege review."
10085,IKEA Perth,Network,AP install,High,24,2025-05-26 13:21:00,2025-05-28 05:36:28.933772,40.3,Closed,"Access error related to ap install, needs privilege review."
10086,UWA Lab A,Hardware,Printer,Medium,48,2025-05-26 09:28:00,2025-05-27 07:35:40.582703,22.1,Closed,Request to configure printer and verify connectivity.
10087,UWA Lab B,Hardware,Scanner,High,24,2025-05-26 10:36:00,2025-05-27 01:27:41.496174,14.9,Closed,Deployment blocker: scanner fails post‑install validation.
10088,UWA Lab B,Hardware,Scanner,Medium,48,2025-05-27 14:02:00,2025-05-28 02:17:29.630131,12.3,Closed,"Access error related to scanner, needs privilege review."
10089,UWA Lab B,Hardware,Printer,Low,72,2025-05-27 07:46:00,2025-05-27 14:26:16.473996,6.7,Closed,Performance degradation observed on printer during peak hours.
10090,UWA Lab B,Install,Cabling,High,24,2025-05-27 08:54:00,2025-05-28 10:30:35.389147,25.6,Closed,Performance degradation observed on cabling during peak hours.
10091,UWA Lab A,Install,Config,Medium,48,2025-05-27 14:55:00,2025-05-28 21:15:46.937181,30.3,Closed,"Access error related to config, needs privilege review."
10092,IKEA Perth,Network,Switch,Medium,48,2025-05-27 08:28:00,2025-05-28 07:58:00.522913,23.5,Closed,Request to configure switch and verify connectivity.
10093,UWA Lab A,Network,WiFi,Medium,48,2025-05-28 10:33:00,2025-05-29 13:39:03.665539,27.1,Closed,Performance degradation observed on wifi during peak hours.
10094,IKEA Perth,Account,Password reset,Low,72,2025-05-28 16:09:00,2025-05-29 05:05:36.273051,12.9,Closed,Performance degradation observed on password reset during peak hours.
10095,Perth Airport T4,Hardware,Laptop,High,24,2025-05-28 11:43:00,2025-05-29 03:15:53.472115,15.5,Closed,Reported issue with laptop causing intermittent failures.
10096,UWA Lab A,Hardware,Laptop,Medium,48,2025-05-28 10:24:00,2025-05-29 00:21:10.693607,14.0,Closed,Reported issue with laptop causing intermittent failures.
10097,UWA Lab A,Network,Switch,Urgent,8,2025-05-28 17:25:00,2025-05-30 07:54:03.294048,38.5,Closed,"Access error related to switch, needs privilege review."
10098,UWA Lab B,Install,Cabling,High,24,2025-05-28 12:14:00,2025-05-29 23:08:15.901411,34.9,Closed,"Access error related to cabling, needs privilege review."
10099,Perth Airport T4,Hardware,Desktop,High,24,2025-05-28 11:50:00,2025-05-29 03:29:27.533073,15.7,Closed,"Access error related to desktop, needs privilege review."
10100,Perth Airport T4,Hardware,Desktop,High,24,2025-05-28 15:56:00,2025-05-29 10:39:02.572339,18.7,Closed,"Access error related to desktop, needs privilege review."
10101,UWA Lab A,Install,Rack,High,24,2025-05-29 11:47:00,2025-05-30 19:41:34.262581,31.9,Closed,Reported issue with rack causing intermittent failures.
10102,IKEA Perth,Hardware,Printer,High,24,2025-05-29 13:54:00,2025-05-30 12:52:31.456794,23.0,Closed,Request to configure printer and verify connectivity.
10103,Perth Airport T4,Network,VPN,Low,72,2025-05-29 17:16:00,2025-05-31 19:56:31.636535,50.7,Closed,Performance degradation observed on vpn during peak hours.
10104,IKEA Perth,Install,Cabling,Medium,48,2025-05-29 16:14:00,2025-05-30 03:43:50.543068,11.5,Closed,Performance degradation observed on cabling during peak hours.
10105,UWA Lab A,Account,Permissions,Medium,48,2025-05-29 07:19:00,2025-05-29 07:56:21.624260,0.6,Closed,Reported issue with permissions causing intermittent failures.
10106,UWA Lab B,Network,AP install,Medium,48,2025-05-29 13:37:00,2025-05-30 10:52:38.498869,21.3,Closed,AP install not responding; user reports frequent timeouts.
10107,UWA Lab B,Install,Cabling,Medium,48,2025-05-29 11:02:00,2025-05-30 00:20:59.404946,13.3,Closed,Cabling not responding; user reports frequent timeouts.
10108,UWA Lab A,Hardware,Desktop,Low,72,2025-05-29 12:03:00,2025-05-30 01:17:28.862799,13.2,Closed,Desktop not responding; user reports frequent timeouts.
10109,Perth Airport T4,Install,Config,Medium,48,2025-05-29 16:01:00,,,Open,Request to configure config and verify connectivity.
10110,IKEA Perth,Network,AP install,Low,72,2025-05-29 10:21:00,2025-05-30 10:08:19.529504,23.8,Closed,"Access error related to ap install, needs privilege review."
10111,IKEA Perth,Hardware,Desktop,Medium,48,2025-05-30 08:42:00,2025-05-30 22:37:49.165417,13.9,Closed,Desktop not responding; user reports frequent timeouts.
10112,UWA Lab A,Network,AP install,Low,72,2025-05-30 08:47:00,2025-05-31 07:52:55.783880,23.1,Closed,Deployment blocker: ap install fails post‑install validation.
10113,Perth Airport T4,Account,Permissions,Medium,48,2025-05-30 16:02:00,2025-05-31 03:08:33.861118,11.1,Closed,Performance degradation observed on permissions during peak hours.
10114,Perth Airport T4,Hardware,Scanner,Low,72,2025-05-30 14:45:00,2025-05-31 00:55:20.421011,10.2,Closed,Reported issue with scanner causing intermittent failures.
10115,IKEA Perth,Install,Site survey,Low,72,2025-05-30 17:37:00,2025-05-31 14:13:02.434348,20.6,Closed,Request to configure site survey and verify connectivity.
10116,UWA Lab B,Hardware,Laptop,Medium,48,2025-05-30 15:46:00,2025-05-31 07:16:01.707748,15.5,Closed,Deployment blocker: laptop fails post‑install validation.
10117,UWA Lab B,Hardware,Desktop,Low,72,2025-05-30 13:46:00,2025-05-31 10:29:21.891189,20.7,Closed,Deployment blocker: desktop fails post‑install validation.
10118,IKEA Perth,Account,MFA,Medium,48,2025-05-31 12:51:00,2025-05-31 21:40:41.557664,8.8,Closed,Reported issue with mfa causing intermittent failures.
10119,Perth Airport T4,Hardware,Laptop,Medium,48,2025-05-31 13:55:00,2025-06-01 08:20:20.862218,18.4,Closed,Reported issue with laptop causing intermittent failures.
10120,UWA Lab A,Install,Site survey,Low,72,2025-05-31 08:22:00,2025-06-01 00:41:29.328830,16.3,Closed,Request to configure site survey and verify connectivity.
10121,IKEA Perth,Network,Switch,High,24,2025-05-31 16:39:00,2025-06-01 23:41:16.901244,31.0,Closed,"Access error related to switch, needs privilege review."
10122,Perth Airport T4,Network,Switch,Low,72,2025-05-31 07:11:00,2025-06-01 05:04:21.606184,21.9,Closed,"Access error related to switch, needs privilege review."
10123,Perth Airport T4,Network,WiFi,Medium,48,2025-06-01 13:29:00,2025-06-02 10:33:03.345742,21.1,Closed,Request to configure wifi and verify connectivity.
10124,Perth Airport T4,Hardware,Laptop,High,24,2025-06-01 14:42:00,2025-06-03 01:35:11.133040,34.9,Closed,"Access error related to laptop, needs privilege review."
10125,IKEA Perth,Hardware,Laptop,High,24,2025-06-01 11:43:00,2025-06-03 12:30:39.826992,48.8,Closed,Deployment blocker: laptop fails post‑install validation.
10126,Perth Airport T4,Hardware,Laptop,Low,72,2025-06-01 10:49:00,2025-06-02 05:01:16.032098,18.2,Closed,Request to configure laptop and verify connectivity.
10127,UWA Lab B,Hardware,Printer,Medium,48,2025-06-02 10:32:00,2025-06-03 14:39:59.473261,28.1,Closed,Performance degradation observed on printer during peak hours.
10128,UWA Lab B,Account,Password reset,High,24,2025-06-02 12:36:00,2025-06-02 23:19:34.129261,10.7,Closed,Deployment blocker: password reset fails post‑install validation.
10129,UWA Lab A,Account,MFA,Low,72,2025-06-02 16:29:00,2025-06-03 03:55:44.835420,11.4,Closed,Request to configure mfa and verify connectivity.
10130,IKEA Perth,Network,WiFi,Medium,48,2025-06-02 12:14:00,2025-06-03 12:15:52.555882,24.0,Closed,WiFi not responding; user reports frequent timeouts.
10131,IKEA Perth,Hardware,Printer,High,24,2025-06-03 17:52:00,2025-06-04 16:53:18.787409,23.0,Closed,Reported issue with printer causing intermittent failures.
10132,IKEA Perth,Network,AP install,Medium,48,2025-06-03 14:29:00,2025-06-05 18:53:08.920872,52.4,Closed,"Access error related to ap install, needs privilege review."
10133,UWA Lab A,Hardware,Laptop,Low,72,2025-06-03 11:50:00,2025-06-04 00:04:54.271570,12.2,Closed,Reported issue with laptop causing intermittent failures.
10134,UWA Lab A,Hardware,Printer,Medium,48,2025-06-03 17:55:00,2025-06-04 17:30:43.025580,23.6,Closed,Reported issue with printer causing intermittent failures.
10135,UWA Lab B,Account,Permissions,Medium,48,2025-06-03 07:28:00,2025-06-03 16:48:50.270496,9.3,Closed,"Access error related to permissions, needs privilege review."
10136,IKEA Perth,Hardware,Scanner,Urgent,8,2025-06-04 08:32:00,2025-06-04 23:18:23.655764,14.8,Closed,Reported issue with scanner causing intermittent failures.
10137,UWA Lab B,Network,VPN,Medium,48,2025-06-04 12:23:00,2025-06-05 17:44:00.043522,29.4,Closed,Deployment blocker: vpn fails post‑install validation.
10138,Perth Airport T4,Hardware,Laptop,High,24,2025-06-04 11:16:00,2025-06-06 01:20:12.117797,38.1,Closed,Performance degradation observed on laptop during peak hours.
10139,UWA Lab A,Install,Rack,Low,72,2025-06-04 12:19:00,2025-06-05 06:20:47.190206,18.0,Closed,Performance degradation observed on rack during peak hours.
10140,Perth Airport T4,Account,Password reset,Low,72,2025-06-04 17:44:00,2025-06-04 18:14:00,0.5,Closed,Performance degradation observed on password reset during peak hours.
10141,UWA Lab B,Install,Cabling,Medium,48,2025-06-04 10:21:00,2025-06-06 06:45:47.976765,44.4,Closed,Deployment blocker: cabling fails post‑install validation.
10142,IKEA Perth,Network,AP install,Low,72,2025-06-04 15:02:00,2025-06-05 15:58:57.027304,24.9,Closed,"Access error related to ap install, needs privilege review."
10143,IKEA Perth,Network,VPN,Low,72,2025-06-04 16:51:00,2025-06-05 13:57:09.917485,21.1,Closed,Performance degradation observed on vpn during peak hours.
10144,IKEA Perth,Network,Switch,Urgent,8,2025-06-05 10:34:00,2025-06-06 15:15:57.809180,28.7,Closed,Deployment blocker: switch fails post‑install validation.
10145,UWA Lab A,Install,Rack,Medium,48,2025-06-05 14:29:00,2025-06-06 06:03:50.974434,15.6,Closed,Deployment blocker: rack fails post‑install validation.
10146,IKEA Perth,Hardware,Scanner,High,24,2025-06-05 17:30:00,2025-06-06 16:08:11.854490,22.6,Closed,"Access error related to scanner, needs privilege review."
10147,UWA Lab A,Install,Cabling,Low,72,2025-06-05 15:09:00,2025-06-06 18:40:58.133095,27.5,Closed,Reported issue with cabling causing intermittent failures.
10148,UWA Lab B,Install,Rack,High,24,2025-06-05 12:15:00,2025-06-06 20:16:43.156051,32.0,Closed,Reported issue with rack causing intermittent failures.
10149,UWA Lab A,Hardware,Printer,High,24,2025-06-05 17:21:00,2025-06-06 12:19:18.169456,19.0,Closed,Printer not responding; user reports frequent timeouts.
10150,IKEA Perth,Network,VPN,High,24,2025-06-05 07:16:00,2025-06-06 06:19:42.304069,23.1,Closed,VPN not responding; user reports frequent timeouts.
10151,Perth Airport T4,Hardware,Scanner,High,24,2025-06-05 08:03:00,2025-06-06 07:14:58.788742,23.2,Closed,Performance degradation observed on scanner during peak hours.
10152,Perth Airport T4,Account,MFA,Low,72,2025-06-05 10:45:00,2025-06-06 10:34:49.346884,23.8,Closed,Deployment blocker: mfa fails post‑install validation.
10153,UWA Lab B,Account,Password reset,Low,72,2025-06-06 15:23:00,2025-06-06 18:02:39.586861,2.7,Closed,"Access error related to password reset, needs privilege review."
10154,UWA Lab B,Hardware,Printer,High,24,2025-06-06 07:22:00,2025-06-07 10:40:51.054183,27.3,Closed,Request to configure printer and verify connectivity.
10155,UWA Lab A,Network,WiFi,Low,72,2025-06-06 12:52:00,2025-06-07 13:52:11.569077,25.0,Closed,Performance degradation observed on wifi during peak hours.
10156,IKEA Perth,Hardware,Scanner,High,24,2025-06-06 11:12:00,,,Open,Scanner not responding; user reports frequent timeouts.
10157,UWA Lab A,Install,Site survey,Medium,48,2025-06-06 15:30:00,2025-06-07 17:30:32.736294,26.0,Closed,Performance degradation observed on site survey during peak hours.
10158,Perth Airport T4,Network,Switch,High,24,2025-06-06 13:47:00,2025-06-07 19:27:36.897669,29.7,Closed,Deployment blocker: switch fails post‑install validation.
10159,UWA Lab B,Hardware,Desktop,Medium,48,2025-06-06 15:17:00,2025-06-07 11:58:34.158375,20.7,Closed,Performance degradation observed on desktop during peak hours.
10160,UWA Lab A,Network,AP install,Low,72,2025-06-07 16:45:00,2025-06-08 23:52:51.595246,31.1,Closed,Performance degradation observed on ap install during peak hours.
10161,Perth Airport T4,Hardware,Scanner,Medium,48,2025-06-07 16:27:00,2025-06-08 14:42:16.245296,22.3,Closed,Reported issue with scanner causing intermittent failures.
10162,UWA Lab A,Network,VPN,Medium,48,2025-06-07 17:50:00,2025-06-09 23:05:38.698635,53.3,Closed,VPN not responding; user reports frequent timeouts.
10163,UWA Lab A,Network,Switch,Medium,48,2025-06-07 16:09:00,2025-06-08 14:36:25.478409,22.5,Closed,Request to configure switch and verify connectivity.
10164,IKEA Perth,Hardware,Printer,Medium,48,2025-06-07 08:01:00,2025-06-07 19:03:02.968440,11.0,Closed,Deployment blocker: printer fails post‑install validation.
10165,UWA Lab A,Hardware,Printer,High,24,2025-06-08 10:39:00,2025-06-09 13:26:37.115879,26.8,Closed,Deployment blocker: printer fails post‑install validation.
10166,Perth Airport T4,Network,AP install,Medium,48,2025-06-08 12:42:00,2025-06-10 23:29:05.089414,58.8,Closed,Reported issue with ap install causing intermittent failures.
10167,UWA Lab A,Hardware,Laptop,High,24,2025-06-08 17:11:00,2025-06-09 10:54:43.336369,17.7,Closed,"Access error related to laptop, needs privilege review."
10168,IKEA Perth,Network,AP install,Low,72,2025-06-08 14:51:00,2025-06-09 08:34:35.544840,17.7,Closed,AP install not responding; user reports frequent timeouts.
10169,Perth Airport T4,Account,Password reset,Low,72,2025-06-08 14:33:00,2025-06-08 21:57:47.529563,7.4,Closed,Deployment blocker: password reset fails post‑install validation.
10170,Perth Airport T4,Network,Switch,Medium,48,2025-06-09 15:40:00,2025-06-10 15:19:19.423215,23.7,Closed,Switch not responding; user reports frequent timeouts.
10171,Perth Airport T4,Hardware,Printer,Medium,48,2025-06-09 09:20:00,2025-06-09 22:20:30.930862,13.0,Closed,Printer not responding; user reports frequent timeouts.
10172,Perth Airport T4,Hardware,Laptop,Low,72,2025-06-09 15:05:00,2025-06-10 07:53:15.689429,16.8,Closed,Laptop not responding; user reports frequent timeouts.
10173,IKEA Perth,Hardware,Desktop,Medium,48,2025-06-09 16:21:00,2025-06-10 04:39:14.067072,12.3,Closed,"Access error related to desktop, needs privilege review."
